Date,Site Name,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,year,month,AQI_PM2.5,AQI_Ozone
2018-01-05T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,32,33
2018-01-05T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,21,NA
2018-01-05T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,32,NA
2018-01-06T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,35,NA
2018-01-06T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,21,NA
2018-01-06T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,35,NA
2018-01-06T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,32,NA
2018-01-06T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,40,31
2018-01-06T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,22,NA
2018-01-06T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,8,NA
2018-01-06T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,23,NA
2018-01-06T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,33,33
2018-01-06T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,17,NA
2018-01-06T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,29,NA
2018-01-07T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,54,NA
2018-01-07T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,9,NA
2018-01-07T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,49,NA
2018-01-07T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,39,NA
2018-01-07T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,47,31
2018-01-07T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,28,NA
2018-01-07T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,15,NA
2018-01-07T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,38,NA
2018-01-07T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,48,34
2018-01-07T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,18,NA
2018-01-07T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,27,NA
2018-01-08T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,71,NA
2018-01-08T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,11,NA
2018-01-08T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,52,NA
2018-01-08T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,34.5,NA
2018-01-08T00:00:00Z,Frying Pan Mountain,Haywood,35.379167,-82.7925,2018,1,3,NA
2018-01-08T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,53,16
2018-01-08T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,40,NA
2018-01-08T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,40,NA
2018-01-08T00:00:00Z,Linville Falls,Avery,35.972347,-81.933072,2018,1,22,NA
2018-01-08T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,44,NA
2018-01-08T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,42.5,27
2018-01-08T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,31,NA
2018-01-08T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,38,NA
2018-01-09T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,78,NA
2018-01-09T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,20,NA
2018-01-09T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,60,NA
2018-01-09T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,49,NA
2018-01-09T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,53,28
2018-01-09T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,54,NA
2018-01-09T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,19,NA
2018-01-09T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,43,NA
2018-01-09T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,35,30
2018-01-09T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,31,NA
2018-01-09T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,43,NA
2018-01-10T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,56,NA
2018-01-10T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,14,NA
2018-01-10T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,39,NA
2018-01-10T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,39,NA
2018-01-10T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,38,31
2018-01-10T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,32,NA
2018-01-10T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,35,NA
2018-01-10T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,29,NA
2018-01-10T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,22,33
2018-01-10T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,37,NA
2018-01-10T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,35,NA
2018-01-11T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,17,NA
2018-01-11T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,12,NA
2018-01-11T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,59,NA
2018-01-11T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,43.5,NA
2018-01-11T00:00:00Z,Frying Pan Mountain,Haywood,35.379167,-82.7925,2018,1,0,NA
2018-01-11T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,35,26
2018-01-11T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,48.5,NA
2018-01-11T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,34,NA
2018-01-11T00:00:00Z,Linville Falls,Avery,35.972347,-81.933072,2018,1,3,NA
2018-01-11T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,55,NA
2018-01-11T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,23,26
2018-01-11T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,27.5,NA
2018-01-11T00:00:00Z,West Johnston Co.,Johnston,35.59095,-78.4622,2018,1,41,NA
2018-01-12T00:00:00Z,Bryson City,Swain,35.434767,-83.442133,2018,1,10,NA
2018-01-12T00:00:00Z,Castle Hayne,New Hanover,34.364167,-77.838611,2018,1,0,NA
2018-01-12T00:00:00Z,Clemmons Middle,Forsyth,36.026,-80.342,2018,1,23,NA
2018-01-12T00:00:00Z,Durham Armory,Durham,36.0329550008979,-78.904037,2018,1,5,NA
2018-01-12T00:00:00Z,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,2018,1,20,33
2018-01-12T00:00:00Z,Hattie Avenue,Forsyth,36.110693332,-80.2264378,2018,1,23,NA
2018-01-12T00:00:00Z,Leggett,Edgecombe,35.988278,-77.5843,2018,1,8,NA
2018-01-12T00:00:00Z,Mendenhall School,Guilford,36.1090060008986,-79.802314,2018,1,15,NA
2018-01-12T00:00:00Z,Millbrook School,Wake,35.856111,-78.574167,2018,1,0,35
2018-01-12T00:00:00Z,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,2018,1,12,NA
